from http://www.digitaldutch.com/atmoscalc/tableatmosphere.htm
Altitude [km]	Temperature [Kelvin]	Pressure [pascal]	Density [kg/m3]	Speed of sound [m/s]	Viscosity [Pa.s]
0.00000	288.150	101325		1.22500	        340.294	0.0000181206
1.00000	281.650	89874.6		1.11164	        336.434	0.0000177943
2.00000	275.150	79495.2		1.00649	        332.529	0.0000174645
3.00000	268.650	70108.5		0.909122	328.578	0.0000171311
4.00000	262.150	61640.2		0.819129	324.579	0.0000167940
5.00000	255.650	54019.9		0.736116	320.529	0.0000164531
6.00000	249.150	47181.0		0.659697	316.428	0.0000161084
7.00000	242.650	41060.7		0.589501	312.274	0.0000157596
8.00000	236.150	35599.8		0.525168	308.063	0.0000154068
9.00000	229.650	30742.5		0.466348	303.793	0.0000150498
10.0000	223.150	26436.3		0.412707	299.463	0.0000146884
11.0000	216.650	22632.1		0.363918	295.070	0.0000143226
12.0000	216.650	19330.4		0.310828	295.070	0.0000143226
13.0000	216.650	16510.4		0.265483	295.070	0.0000143226
14.0000	216.650	14101.8		0.226753	295.070	0.0000143226
15.0000	216.650	12044.6		0.193674	295.070	0.0000143226
16.0000	216.650	10287.5		0.165420	295.070	0.0000143226
17.0000	216.650	8786.68		0.141288	295.070	0.0000143226
18.0000	216.650	7504.84		0.120676	295.070	0.0000143226
19.0000	216.650	6410.01		0.103071	295.070	0.0000143226
20.0000	216.650	5474.89		0.0880349	295.070	0.0000143226
21.0000	217.650	4677.89		0.0748737	295.750	0.0000143792
22.0000	218.650	3999.79		0.0637273	296.428	0.0000144357
23.0000	219.650	3422.43		0.0542803	297.105	0.0000144920
24.0000	220.650	2930.49		0.0462674	297.781	0.0000145483
25.0000	221.650	2511.02		0.0394658	298.455	0.0000146044
26.0000	222.650	2153.09		0.0336882	299.128	0.0000146604
27.0000	223.650	1847.46		0.0287769	299.799	0.0000147164
28.0000	224.650	1586.29		0.0245988	300.468	0.0000147722
29.0000	225.650	1362.96		0.0210420	301.136	0.0000148279
30.0000	226.650	1171.87		0.0180119	301.803	0.0000148835
31.0000	227.650	1008.23		0.0154288	302.468	0.0000149390
32.0000	228.650	868.019		0.0132250	303.131	0.0000149945
33.0000	231.450	748.228		0.0112620	304.982	0.0000151491
34.0000	234.250	646.122		0.00960889	306.821	0.0000153029
35.0000	237.050	558.924		0.00821392	308.649	0.0000154559
36.0000	239.850	484.317		0.00703441	310.467	0.0000156082
37.0000	242.650	420.367		0.00603513	312.274	0.0000157596
38.0000	245.450	365.455		0.00518691	314.070	0.0000159104
39.0000	248.250	318.220		0.00446557	315.856	0.0000160603
40.0000	251.050	277.522		0.00385101	317.633	0.0000162096
41.0000	253.850	242.395		0.00332648	319.399	0.0000163581
42.0000	256.650	212.030		0.00287802	321.156	0.0000165058
43.0000	259.450	185.738		0.00249393	322.903	0.0000166529
44.0000	262.250	162.937		0.00216443	324.641	0.0000167992
45.0000	265.050	143.135		0.00188129	326.369	0.0000169449
46.0000	267.850	125.910		0.00163760	328.088	0.0000170898
47.0000	270.650	110.906		0.00142753	329.799	0.0000172341
48.0000	270.650	97.7545		0.00125825	329.799	0.0000172341
49.0000	270.650	86.1623		0.00110904	329.799	0.0000172341
50.0000	270.650	75.9448		0.000977525	329.799	0.0000172341
51.0000	270.650	66.9389		0.000861606	329.799	0.0000172341
52.0000	267.850	58.9622		0.000766867	328.088	0.0000170898
53.0000	265.050	51.8668		0.000681710	326.369	0.0000169449
54.0000	262.250	45.5632		0.000605252	324.641	0.0000167992
55.0000	259.450	39.9700		0.000536684	322.903	0.0000166529
56.0000	256.650	35.0137		0.000475263	321.156	0.0000165058
57.0000	253.850	30.6274		0.000420311	319.399	0.0000163581
58.0000	251.050	26.7509		0.000371207	317.633	0.0000162096
59.0000	248.250	23.3296		0.000327382	315.856	0.0000160603
60.0000	245.450	20.3143		0.000288321	314.070	0.0000159104
61.0000	242.650	17.6606		0.000253550	312.274	0.0000157596
62.0000	239.850	15.3287		0.000222640	310.467	0.0000156082
63.0000	237.050	13.2826		0.000195200	308.649	0.0000154559
64.0000	234.250	11.4900		0.000170875	306.821	0.0000153029
65.0000	231.450	9.92203		0.000149342	304.982	0.0000151491
66.0000	228.650	8.55275		0.000130308	303.131	0.0000149945
67.0000	225.850	7.35895		0.000113510	301.269	0.0000148390
68.0000	223.050	6.31992		0.0000987069	299.396	0.0000146828
69.0000	220.250	5.41717		0.0000856830	297.511	0.0000145258
70.0000	217.450	4.63422		0.0000742430	295.614	0.0000143679
71.0000	214.650	3.95642		0.0000642110	293.704	0.0000142092
72.0000	212.650	3.37176		0.0000552370	292.333	0.0000140953
73.0000	210.650	2.86917		0.0000474496	290.955	0.0000139810
74.0000	208.650	2.43773		0.0000407010	289.570	0.0000138662
75.0000	206.650	2.06792		0.0000348607	288.179	0.0000137510
76.0000	204.650	1.75140		0.0000298135	286.781	0.0000136353
77.0000	202.650	1.48092		0.0000254579	285.377	0.0000135192
78.0000	200.650	1.25012		0.0000217046	283.965	0.0000134027
79.0000	198.650	1.05351	        0.0000184751	282.546	0.0000132856
80.0000	196.650	0.886280	0.0000157005	281.120	0.0000131682
81.0000	194.650	0.744280	0.0000133205	279.687	0.0000130502
82.0000	192.650	0.623905	0.0000112820	278.246	0.0000129318
83.0000	190.650	0.522037	0.00000953899	276.798	0.0000128129
84.0000	188.650	0.435981	0.00000805098	275.343	0.0000126935
85.0000	186.946	0.363420	0.00000677222	274.096	0.0000125915
86.0000	186.946	0.302723	0.00000564114	274.096	0.0000125915
