"t_IDs" "AKN" "ALPHAT" "ALD" "ALMAVE" "AGREF" "AGRE1" "AGRE2" "RAUTEFR" "RQLCR" "RAUTEFS" "RQICRMIN" "RQICRMAX" "RQICRT1" "TFVL" "TFVI" "TFVR" "TFVS" "RDTFAC" "RACCEF" "RRIMEF" "RAGGEF" "REVASX" "RNINTR" "RNINTS" "RKDN" "RKDX" "TENTR" "TENTRX" "VVN" "VVX" "ALFX" "REFLCAPE" "FNEBC" "GCVRE" "GREDDL" "GREDDI" "GREDDR" "GREDDS" "GCVTURB" "ECMNP" "GAMAP1" "FENTRT" "FEVAPC" "RREVASXCS" "RLWINHF_ICE" "RLWINHF_LIQ" "RSWINHF_ICE" "RSWINHF_LIQ" "GWDAMP" "GWDBC" "GWDCD" "GWDLT" "GWDSE" "GWDPROF" "GWDVALI" "HOBST"
"GCM_6-001" 0.0904613956809044 1.44354510307312 2.17905330657959 15.5163650512695 -0.191125839948654 1.67435097694397 5.76571369171143 0.000388931774068624 9.97708339127712e-05 0.00333289499394596 1.62009445858757e-08 1.26490394904977e-05 -59.3697891235352 0.0115214195102453 0.0766231790184975 4.226646900177 1.22463071346283 2.14332342147827 0.591049551963806 1.74320697784424 0.522827744483948 1.78070163059374e-08 13216210 1192704.625 6.79335280437954e-05 0.000593392993323505 3.58483771378815e-06 0.000104854756500572 -3.85096502304077 -34.1109275817871 0.0850410908460617 4.80972194671631 11.4559965133667 0.656313061714172 0.30734658241272 0.765839815139771 0.0600057430565357 0.081453375518322 5.73751131014433e-05 2509.36157226562 1.34007930755615 2.00192856788635 0.57117086648941 0.000677367730531842 0.864126920700073 0.669491648674011 0.541942238807678 0.604735910892487 0.934220850467682 1.45347487926483 9.27603530883789 0.85013735294342 0.000785604352131486 0.469116687774658 0.6842982172966 2.80738925933838
"GCM_6-002" 0.157213091850281 1.60519301891327 0.934221029281616 28.8543815612793 -0.313562959432602 0.852276027202606 4.82826519012451 0.000343591324053705 1.88389112736331e-05 0.00932194571942091 7.59244358050636e-07 2.69915890385164e-05 -62.8072700500488 0.0821182653307915 0.187302052974701 4.01499080657959 1.61410439014435 1.82113671302795 1.26742660999298 1.41208517551422 1.38713407516479 3.24927356132321e-07 20791704 1855531.875 5.49429969396442e-05 0.000113552145194262 4.71662679046858e-06 0.000106628736830316 -2.38267183303833 -34.0437889099121 0.0975608229637146 2.42734098434448 3.67515254020691 0.836739361286163 0.624161303043365 0.548139154911041 0.0327825322747231 0.53303861618042 5.2391410463315e-06 2900.34814453125 1.82572901248932 2.25666236877441 4.69223785400391 0.814197778701782 0.92681485414505 0.773792028427124 0.924676656723022 0.70231956243515 0.532961964607239 0.536489009857178 6.57290601730347 0.858999192714691 0.00160910654813051 0.839572310447693 0.557052791118622 2.23637628555298
"GCM_6-003" 0.0994855016469955 1.96946847438812 2.26739740371704 24.0484390258789 -0.0255797952413559 2.18937802314758 5.65470504760742 0.0012676160549745 2.83193003269844e-05 0.00120179424993694 1.47186951515721e-09 1.22078445201623e-05 -78.8900527954102 0.0396486781537533 0.0931957736611366 4.99147701263428 1.77433276176453 1.72927606105804 0.108368843793869 0.704385697841644 0.432835876941681 1.78478899215406e-07 1266311.75 5772660 3.89807246392593e-05 0.00019194332708139 6.2309577515407e-06 5.73791621718556e-05 -4.08688545227051 -34.0966987609863 0.0875297039747238 3.5286111831665 17.9362487792969 0.853786885738373 0.869662284851074 0.592782139778137 0.595341563224792 0.2396170347929 2.35773541135131e-06 7325.89599609375 1.38340187072754 0.729077875614166 6.4109582901001 0.513818025588989 0.726707816123962 0.544664621353149 0.775705873966217 0.719643831253052 0.84443461894989 3.38311171531677 8.06073665618896 0.701808452606201 0.00370456255041063 0.620856821537018 0.299304455518723 2.66245293617249
"GCM_6-004" 0.205111622810364 2.22115254402161 0.565677165985107 10.9445419311523 -0.184053048491478 3.98337411880493 4.26737880706787 0.00596052221953869 1.85166809387738e-05 0.000520123052410781 1.49247569858346e-09 3.52242968801874e-05 -75.6236038208008 0.0352841094136238 0.110910795629025 4.9992790222168 2.30769896507263 1.43823003768921 0.987940311431885 0.62611448764801 0.965460062026978 6.77033824558748e-08 1383175.625 281173.28125 6.79055592627265e-05 0.000194261170690879 7.06892569724005e-06 6.07971742283553e-05 -3.28318476676941 -39.4437866210938 0.0290597081184387 1.5661609172821 9.88568782806396 0.632892966270447 0.351924121379852 0.666454672813416 0.707090973854065 0.0354544818401337 4.99708266943344e-06 8283.392578125 1.64743185043335 1.83029341697693 7.80785942077637 0.558152258396149 0.771909952163696 0.848902583122253 0.576347351074219 0.732357382774353 0.442281246185303 3.22796535491943 8.89780235290527 0.0351330749690533 0.000290194671833888 0.659368574619293 0.813762903213501 1.38394570350647
"GCM_6-005" 0.124292254447937 2.28273940086365 1.05269265174866 10.9532403945923 -0.183483257889748 3.60296893119812 1.58273434638977 0.000150438165292144 0.000109583845187444 0.00392762571573258 3.382717395084e-08 1.12854286271613e-05 -79.3206405639648 0.125695407390594 0.0240247491747141 6.35689401626587 2.76991176605225 1.24573624134064 0.801934897899628 0.30862420797348 1.2302051782608 2.52445460091622e-07 24731410 2621212.25 4.3497646402102e-05 0.000458593742223457 4.76065315524465e-06 3.320010000607e-05 -2.1174533367157 -29.6346302032471 0.0399982519447803 9.28442478179932 8.14953327178955 0.954496264457703 0.685408234596252 0.494091957807541 0.966100692749023 0.0583953559398651 2.4087485144264e-06 5306.802734375 1.18612813949585 1.47697806358337 2.98628044128418 0.488342940807343 0.874558985233307 0.923123180866241 0.558914601802826 0.77592408657074 0.448584794998169 4.12088060379028 4.93325996398926 1.25678813457489 0.000249187432928011 0.0832397118210793 0.814535975456238 3.01668047904968
"GCM_6-006" 0.140373900532722 2.79901194572449 1.02583014965057 17.5664367675781 -0.331635981798172 1.83189284801483 6.18321466445923 0.00106471008621156 0.000108964122773614 0.000690179993398487 8.28170509947769e-09 3.13296259264462e-05 -89.7604141235352 0.0611301846802235 0.158561378717422 3.78561854362488 0.33052396774292 0.82012265920639 1.36513161659241 1.10985565185547 0.609912872314453 5.44069251873225e-08 2677581.5 1679369.625 6.47712804493494e-05 0.00042093321098946 3.48709954778315e-06 6.12560761510395e-05 -1.66366100311279 -47.8131294250488 0.0288243144750595 4.43543195724487 11.6799154281616 0.723711431026459 0.445521920919418 0.767799854278564 0.0129228802397847 0.621102631092072 4.04177517339122e-05 4973.65380859375 1.66199457645416 1.43214154243469 3.9248571395874 0.798731327056885 0.916216731071472 0.800102949142456 0.783171415328979 0.686837613582611 0.119276344776154 3.52521848678589 6.67611789703369 0.408010929822922 0.000434744462836534 0.263431042432785 0.702779591083527 1.78880977630615
"GCM_6-007" 0.144155383110046 1.94425094127655 1.29662394523621 13.0768203735352 -0.0549403056502342 1.59736239910126 8.45268154144287 0.000686724612023682 2.29178767767735e-05 0.00183722586371005 4.40300311765896e-07 3.54288567905314e-06 -83.6810989379883 0.0897029936313629 0.0247764922678471 3.19970655441284 2.08334732055664 1.78976786136627 1.62910187244415 0.570624887943268 1.05095791816711 6.38602557501145e-08 35669892 3500002.25 3.71990572602954e-05 0.000170381463249214 7.64421110943658e-06 7.7803386375308e-05 -4.14632654190063 -34.8750267028809 0.059070996940136 7.59043312072754 10.4395151138306 0.984122574329376 0.822807610034943 0.518462300300598 0.965928614139557 0.599973917007446 8.84154178493191e-06 1311.32104492188 1.82419645786285 1.06600773334503 5.10142660140991 0.935876786708832 0.799056053161621 0.693436741828918 0.848569631576538 0.50573718547821 0.844594776630402 4.19670581817627 7.93844938278198 1.48455476760864 0.00146697741001844 0.981566727161407 0.61442905664444 1.66305959224701
"GCM_6-008" 0.0922005400061607 2.44601011276245 2.23820161819458 28.3726119995117 -0.126761227846146 0.164382874965668 0.65687894821167 0.0063729202374816 0.000136763672344387 0.000845965056214481 3.29286331535173e-09 3.75803065253422e-05 -59.0209846496582 0.0316952653229237 0.0586853846907616 6.3675274848938 1.00479781627655 1.98129272460938 1.4053909778595 0.748822569847107 1.58255195617676 1.09946668658267e-07 3214449.5 857568 5.58627507416531e-05 0.000219139328692108 2.3803536350897e-06 0.000116026480100118 -4.18041372299194 -42.9008102416992 0.0188191402703524 9.66585826873779 0.135123804211617 0.70802766084671 0.0146657843142748 0.161099061369896 0.227877110242844 0.0711423084139824 9.31558497541119e-06 4060.2431640625 1.27516543865204 2.71006274223328 3.23659658432007 0.82413786649704 0.822667479515076 0.89969003200531 0.820335388183594 0.777714908123016 0.691515922546387 1.48719441890717 3.38681650161743 1.25256538391113 0.000606221845373512 0.596876382827759 0.87670111656189 2.54657864570618
"GCM_6-009" 0.197096675634384 2.71310091018677 0.61722594499588 10.8627481460571 -0.123464748263359 4.90898990631104 8.39510154724121 0.000902160361874849 8.82018430274912e-05 0.000822019123006612 1.15660956367947e-08 8.60811178426957e-06 -83.3828125 0.0707310512661934 0.049576498568058 6.85062503814697 1.98389518260956 0.893686473369598 0.747789800167084 0.181495398283005 1.89942586421967 6.70657627210858e-08 7388056.5 9161989 5.74721998418681e-05 0.000242129972320981 9.9270273494767e-06 7.26891303202137e-05 -3.29580974578857 -39.9555206298828 0.0474469289183617 7.64766836166382 17.626184463501 0.661137461662292 0.63248872756958 0.312545925378799 0.37219774723053 0.0639958083629608 1.4360517525347e-05 1688.43872070313 1.31844186782837 2.21116137504578 2.10171341896057 0.627874791622162 0.617811501026154 0.683749735355377 0.76187789440155 0.726590931415558 0.616040706634521 0.780426502227783 2.66274356842041 0.0306694004684687 0.000115384144010022 0.0643655881285667 0.655990839004517 3.06280040740967
"GCM_6-010" 0.126049727201462 1.79407334327698 1.27546143531799 13.0806522369385 -0.287679016590118 0.180040180683136 4.82962274551392 0.0033160662278533 7.24157580407336e-05 0.000996794435195624 5.6250485158671e-07 5.47767194802872e-06 -80.6216659545898 0.0496054142713547 0.0727320984005928 5.86557722091675 2.96967744827271 1.69275259971619 1.71394920349121 1.650714635849 1.95575153827667 1.19074933024876e-07 1093366.375 1446094.625 5.6472905271221e-05 0.000528147735167295 2.42177156906109e-06 3.72312897525262e-05 -3.68058753013611 -37.9186668395996 0.0849925652146339 2.87171149253845 10.5649824142456 0.86091947555542 0.655778467655182 0.674450397491455 0.814086377620697 0.226010873913765 2.27077566705702e-06 7173.3720703125 1.12670135498047 2.81167984008789 7.52218151092529 0.67644727230072 0.820627927780151 0.957515478134155 0.822927176952362 0.743781864643097 0.70161110162735 0.0907169356942178 7.1144495010376 1.16832768917084 0.000676430179737509 0.301687449216843 0.117174096405506 4.73360061645508
